,smiles,Caco2_Wang,Lipophilicity_AstraZeneca,Solubility_AqSolDB,HydrationFreeEnergy_FreeSolv,PPBR_AZ,VDss_Lombardo,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ
49,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
50,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,,,,,,,
51,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-4.4099998,,,,,,,
52,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
53,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
54,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,,,,,,,
55,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.3000002,,,,,,,
56,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
57,CC(=O)Nc1ccc(O)cc1,-4.4400001,0.25,-1.0333232127,,26.64,1.0,10.8,3.0
58,CC(=O)Nc1ccc(O)cc1,-4.4400001,0.25,-1.0333232127,,26.64,1.0,6.31,3.0
59,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
60,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
61,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,,,,,,,
62,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,,,,,,,
63,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.3000002,,,,,,,
64,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.3000002,,,,,,,
65,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.0,,,,,,,
66,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.8200002,,,,,,,
67,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,,,,,,,
68,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,-5.8200002,,,,,,,
69,C[C@H]1C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.8200002,,,,,,,
70,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.8200002,,,,,,,
71,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C1=O,-5.8200002,,,,,,,
72,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,-5.2600002,,,,,,,
73,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,-5.8200002,,,,,,,
74,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,,,,,,,
75,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,,,,,,,
76,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-4.6999998,,,,,,,
77,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.3000002,,,,,,,
78,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.0,,,,,,,
79,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.3000002,,,,,,,
80,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.0999999,,,,,,,
81,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,-5.1500001,,,,,,,
82,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.3000002,,,,,,,
83,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,-5.3000002,,,,,,,
84,C[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,-5.3000002,,,,,,,
85,NNc1nncc2ccccc12,-5.170000099999998,,-2.6,,,,,
86,C[C@]12C[C@@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CC[C@@]2(O)C(=O)CO,-4.6599998,,,,,,,
87,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,-5.6799998,,,,,,,
88,C=C(C)CNc1ccc(C(C)C(=O)O)cc1,-4.3400002,,,,,,,
89,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,95.63,12.0,5.62,13.49
90,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,95.63,12.0,150.0,13.49
91,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,82.72,12.0,5.62,13.49
92,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,82.72,12.0,150.0,13.49
93,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,87.87,12.0,5.62,13.49
94,CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.8509998,2.49,-4.187,,87.87,12.0,150.0,13.49
95,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.6900001,,-4.77,,,0.1,,
96,O=c1c(OC2C(O)OC(CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-6.1700000999999975,,,,,,,
97,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,-4.9299998,,,,,,,
98,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-4.3899999,1.38,,,55.73,,,
99,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,-4.3899999,1.38,,,48.85,,,
100,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,-4.1100001000000015,2.7,,,98.4,0.28,,
101,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,-7.1199999000000025,,,,,,,
102,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-7.389999900000001,,,,,,,
103,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,-7.3400002,,,,,,3.0,
104,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3c(F)c(F)cc(F)c3F)cc21,-4.1999998,,,,,,,
105,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccccc3F)cc21,-4.54,,,,,,,
106,C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,-5.3000002,,,,,,,
107,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccc(F)c(F)c3F)cc21,-4.329999900000002,,,,,,,
108,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-4.71,,-1.92,,,0.15,,
109,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12,-6.1599998,,,,,,,
110,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,-5.21,1.64,-3.783,,,1.6,,
111,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,-6.1524997,,,,,,3.0,
112,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-5.4109998,,-1.01,,,1.9,,
113,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-4.6599998,0.13,-4.5,-10.21,99.8,,,3.0
114,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c12,-4.6550002,,,,,,,
115,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,-5.8000002,,,,,,,
116,Clc1ccc2Nc3ccccc3C(N3CCNCC3)=Nc2c1,-4.6799998,,,,,,,
117,C/C=C/c1cc(OC)c2OC(c3cc(OC)c(O)c(OC)c3)C(C)c2c1,-5.3400002,,,,,,,
118,C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.73,,,,,,,
119,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,-5.6999998,,-1.5390164423,,,,,
120,C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,-4.5500002,,,,,,,
121,C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,-4.5100002,,,,,,,
122,Cc1c(C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c(-c2ccccc2Cl)no1,-5.5799999000000025,,,,,,,
123,C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,-4.545000099999998,,,,,,,
124,N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.6999998,,,,,,,
125,N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,-4.6500001,,,,,,,
126,Cc1ccnc2c1[nH]c(Cc1nc3cc(C(=N)N)ccc3[nH]1)n2,-7.0500002,,,,,,,
127,CCOC(=O)NC(=N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,-6.1500001,,,,,,,
128,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,-0.76,,,65.06,,3.0,3.0
129,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,-0.76,,,65.06,,26.98,3.0
130,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,-0.76,,,39.23,,3.0,3.0
131,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-5.8400002,-0.76,,,39.23,,26.98,3.0
132,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,1.9,-5.09,,78.41,0.73,5.37,
133,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,1.9,-5.09,,78.41,0.73,12.02,
134,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,1.9,-5.09,,96.0,0.73,5.37,
135,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,-4.987,1.9,-5.09,,96.0,0.73,12.02,
136,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,-4.7199998,,-3.1784471289,,,,,
137,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,-5.3499999,,,,,,,
138,CC(C)NC[C@H](COc1cccc2ccccc12)OC(=O)C1CC1,-4.5100002,,,,,,,
139,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,-6.4000001,,,,,,,
140,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,85.48,,72.44,
141,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,85.48,,6.17,
142,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,93.8,,72.44,
143,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,93.8,,6.17,
144,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,60.77,,72.44,
145,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-4.6900001,2.21,-2.8121429703,,60.77,,6.17,
146,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-7.6199999000000025,,-0.3962,,,,,
147,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,-5.4000001,,,,,,,
148,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,-4.96,,,,,,50.12,
149,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,-4.96,,,,,,150.0,
150,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,-5.329999900000002,,,,,,,
151,CN1[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,-4.928,,,,,,,
152,NCCc1c[nH]c2ccc(O)cc12,-4.8600001,,-0.945,,,,,
153,CCCc1nn(C)c2c1[nH]c(-c1cc(S(=O)(=O)N3CCN(C)CC3)ccc1OCC)nc2=O,-4.5100002,,,,,,,
154,CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,-4.6999998,,,,,,,
155,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,-4.75,,-2.16,,,0.29,,
156,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-5.378171,,-6.14,,99.71,,,
157,NC(=O)N1C(=O)C(C(=O)c2cccs2)c2cc(Cl)ccc21,-4.5700002,,,,,,,
158,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,-4.6100001,0.9,-1.8,,79.55,0.98,,
159,Cn1c(=O)c2c(nc[nH]2)n(C)c1=O,-4.3499999,-0.09,-1.3525852601,,,,,
160,C/N=C(\NC#N)NCCSCc1csc(N=C(N)N)n1,-5.8800000999999975,,,,,,,
161,C/N=C(\NC#N)NCCSCc1csc(N=C(N)N)n1,-5.6587887000000014,,,,,,,
162,NC(Cc1c[nH]c2ccccc12)C(=O)O,-5.3899999,-1.17,-1.77,,,,,
163,NC(=O)C(N)Cc1c[nH]c2ccccc12,-4.920000099999998,,,,,,,
164,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,-5.5500002,,,,,,,
165,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)C(C)C,-5.3499999,,,,,,,
